SETR Category,CIPCode,CIPField,Award level,Grand total,Grand total men,Grand total women,U.S. Resident/Citizen total,U.S. Resident/Citizen men,U.S. Resident/Citizen women,U.S. Nonresident total,U.S. Nonresident men,U.S. Nonresident women
Cryptography,11.1003,Computer and Information Systems Security/Auditing/Information Assurance,Postsecondary certificate > 60 semester credit hours,18,16,2,18,18,2,0,0,0
Cryptography,11.1003,Computer and Information Systems Security/Auditing/Information Assurance,Associate's degree,1530,1266,264,1513,1513,261,17,14,3
Cryptography,11.1003,Computer and Information Systems Security/Auditing/Information Assurance,Bachelor's degree,3222,2763,459,3156,3156,440,66,47,19
Cryptography,11.1003,Computer and Information Systems Security/Auditing/Information Assurance,Master's degree,2210,1693,517,1873,1873,417,337,237,100
Cryptography,11.1003,Computer and Information Systems Security/Auditing/Information Assurance,Doctor's degree – research/scholarship,21,16,5,21,21,5,0,0,0
Cryptography,11.1003,Computer and Information Systems Security/Auditing/Information Assurance,Postbaccalaureate certificate,605,439,166,505,505,143,100,77,23
Cryptography,11.1003,Computer and Information Systems Security/Auditing/Information Assurance,Post-master's certificate,40,28,12,32,32,8,8,4,4
Cryptography,27.0101,"Mathematics, General",All award levels (total),27533,16712,10821,23324,23324,9173,4209,2561,1648
Cryptography,27.0101,"Mathematics, General",Postsecondary certificate < 60 semester credit hours,25,17,8,20,20,5,5,2,3
Cryptography,27.0101,"Mathematics, General",Associate's degree,2993,2138,855,2839,2839,801,154,100,54
Cryptography,27.0101,"Mathematics, General",Bachelor's degree,20382,11837,8545,17801,17801,7426,2581,1462,1119
Cryptography,27.0101,"Mathematics, General",Master's degree,2889,1776,1113,1967,1967,775,922,584,338
Cryptography,27.0101,"Mathematics, General",Doctor's degree – research/scholarship,1155,885,270,653,653,148,502,380,122
Cryptography,27.0101,"Mathematics, General",Postbaccalaureate certificate,56,32,24,33,33,18,23,17,6
Cryptography,27.0101,"Mathematics, General",Post-master's certificate,33,27,6,11,11,0,22,16,6
Cryptography,27.0303,Computational Mathematics,All award levels (total),209,161,48,147,147,31,62,45,17
Cryptography,27.0303,Computational Mathematics,Bachelor's degree,175,133,42,129,129,31,46,35,11
Cryptography,27.0303,Computational Mathematics,Master's degree,14,12,2,7,7,0,7,5,2
Cryptography,27.0303,Computational Mathematics,Doctor's degree – research/scholarship,20,16,4,11,11,0,9,5,4
Cryptography,27.0502,Mathematical Statistics and Probability,All award levels (total),399,246,153,137,137,46,262,155,107
Cryptography,27.0502,Mathematical Statistics and Probability,Bachelor's degree,253,155,98,107,107,35,146,83,63
Cryptography,27.0502,Mathematical Statistics and Probability,Master's degree,126,77,49,22,22,9,104,64,40
Cryptography,27.0502,Mathematical Statistics and Probability,Doctor's degree – research/scholarship,20,14,6,8,8,2,12,8,4
Cryptography,27.0503,Mathematics and Statistics,All award levels (total),157,91,66,135,135,57,22,13,9
Cryptography,27.0503,Mathematics and Statistics,Bachelor's degree,97,57,40,92,92,39,5,4,1
Cryptography,27.0503,Mathematics and Statistics,Master's degree,60,34,26,43,43,18,17,9,8
Cryptography,52.1302,Business Statistics,All award levels (total),963,582,381,571,571,174,392,185,207
Cryptography,52.1302,Business Statistics,Bachelor's degree,220,143,77,192,192,68,28,19,9
Cryptography,52.1302,Business Statistics,Master's degree,511,300,211,241,241,68,270,127,143
Cryptography,52.1302,Business Statistics,Postbaccalaureate certificate,230,137,93,136,136,38,94,39,55
Cryptography,52.1302,Business Statistics,Post-master's certificate,2,2,0,2,2,0,0,0,0
Lasers,14.0803,Structural Engineering,All award levels (total),457,338,119,317,317,79,140,100,40
